Car Code,Time Captured
ART40-2025-002,2025-03-23T08:13:46.986059
ART40-2025-001,2025-03-23T08:22:27.741284
ART40-2025-010,2025-03-23T08:23:11.002545
ART40-2025-011,2025-03-23T08:23:28.134282
ART40-2025-015,2025-03-23T08:27:02.182897
ART40-2025-017,2025-03-23T08:28:45.296062
ART40-2025-014,2025-03-23T08:31:35.626078
ART40-2025-018,2025-03-23T08:34:10.289306
ART40-2025-007,2025-03-23T08:36:24.119579
ART40-2025-021,2025-03-23T08:37:28.617178
ART40-2025-022,2025-03-23T08:38:48.416828
ART40-2025-029,2025-03-23T08:41:36.775659
ART40-2025-028,2025-03-23T08:41:43.272460
ART40-2025-033,2025-03-23T08:42:22.184668
ART40-2025-012,2025-03-23T08:44:50.701849
ART40-2025-003,2025-03-23T08:45:06.217031
ART40-2025-035,2025-03-23T08:45:15.002724
ART40-2025-031,2025-03-23T08:46:04.964997
ART40-2025-006,2025-03-23T08:46:14.548142
ART40-2025-056,2025-03-23T08:52:03.909203
ART40-2025-046,2025-03-23T08:53:05.819149
ART40-2025-020,2025-03-23T08:53:18.244446
ART40-2025-030,2025-03-23T08:58:13.437170
ART40-2025-052,2025-03-23T08:59:07.410543
ART40-2025-027,2025-03-23T08:59:14.021298
ART40-2025-041,2025-03-23T09:01:41.438208
ART40-2025-044,2025-03-23T09:03:53.179863
ART40-2025-086,2025-03-23T09:04:28.736237
ART40-2025-027,2025-03-23T09:04:50.031442
ART40-2025-043,2025-03-23T09:05:09.745650
ART40-2025-055,2025-03-23T09:06:00.400808
ART40-2025-038,2025-03-23T09:06:26.898195
ART40-2025-037,2025-03-23T09:06:54.915770
ART40-2025-049,2025-03-23T09:09:59.919164
ART40-2025-045,2025-03-23T09:10:43.446133
ART40-2025-040,2025-03-23T09:10:53.576696
ART40-2025-061,2025-03-23T09:12:39.891363
ART40-2025-036,2025-03-23T09:12:47.795073
ART40-2025-051,2025-03-23T09:13:22.755570
ART40-2025-062,2025-03-23T09:15:58.987861
ART40-2025-054,2025-03-23T09:16:27.455812
ART40-2025-087,2025-03-23T09:16:35.214668
ART40-2025-013,2025-03-23T09:17:30.571504
ART40-2025-081,2025-03-23T09:19:23.737494
ART40-2025-099,2025-03-23T09:20:42.307125
ART40-2025-082,2025-03-23T09:20:48.483354
ART40-2025-068,2025-03-23T09:24:57.699144
ART40-2025-088,2025-03-23T09:27:50.236206
ART40-2025-078,2025-03-23T09:28:02.428272
ART40-2025-075,2025-03-23T09:28:55.063048
ART40-2025-080,2025-03-23T09:29:31.908402
ART40-2025-085,2025-03-23T09:31:47.881232
ART40-2025-083,2025-03-23T09:32:33.764036
ART40-2025-067,2025-03-23T09:33:34.062896
ART40-2025-066,2025-03-23T09:33:49.850054
ART40-2025-048,2025-03-23T09:34:10.747967
ART40-2025-076,2025-03-23T09:34:53.934186
ART40-2025-070,2025-03-23T09:36:02.012993
ART40-2025-053,2025-03-23T09:36:57.452930
ART40-2025-077,2025-03-23T09:37:07.252226
ART40-2025-064,2025-03-23T09:37:57.317137
ART40-2025-073,2025-03-23T09:40:19.736036
ART40-2025-060,2025-03-23T09:41:34.983443
ART40-2025-028,2025-03-23T09:45:33.538836
ART40-2025-065,2025-03-23T09:45:50.429530
ART40-2025-069,2025-03-23T09:46:18.306567
ART40-2025-091,2025-03-23T09:51:53.051667
ART40-2025-050,2025-03-23T09:56:10.675672
ART40-2025-092,2025-03-23T09:57:27.949781
ART40-2025-079,2025-03-23T09:59:18.874659
ART40-2025-089,2025-03-23T10:04:10.613187
ART40-2025-084,2025-03-23T10:05:10.740152
ART40-2025-039,2025-03-23T10:05:28.740711
ART40-2025-005,2025-03-23T10:07:33.941113
ART40-2025-023,2025-03-23T10:10:17.518761
ART40-2025-071,2025-03-23T10:11:03.383066
ART40-2025-090,2025-03-23T10:11:34.070862
ART40-2025-094,2025-03-23T10:24:39.234599
