Car Code,Time Captured
ART40-2025-001,2025-03-23T08:01:14.646021
ART40-2025-002,2025-03-23T08:02:14.184587
ART40-2025-007,2025-03-23T08:05:12.913391
ART40-2025-006,2025-03-23T08:06:42.034318
ART40-2025-014,2025-03-23T08:07:13.713640
ART40-2025-015,2025-03-23T08:08:33.637425
ART40-2025-010,2025-03-23T08:09:15.347753
ART40-2025-011,2025-03-23T08:10:10.945365
ART40-2025-017,2025-03-23T08:15:12.962563
ART40-2025-012,2025-03-23T08:16:10.906371
ART40-2025-003,2025-03-23T08:17:05.204424
ART40-2025-018,2025-03-23T08:18:22.747614
ART40-2025-099,2025-03-23T08:19:06.101366
ART40-2025-020,2025-03-23T08:20:03.964692
ART40-2025-009,2025-03-23T08:21:00.441476
ART40-2025-021,2025-03-23T08:22:05.383609
ART40-2025-022,2025-03-23T08:23:02.917316
ART40-2025-029,2025-03-23T08:24:08.901735
ART40-2025-033,2025-03-23T08:25:08.211044
ART40-2025-026,2025-03-23T08:26:08.405889
ART40-2025-027,2025-03-23T08:27:08.133983
ART40-2025-028,2025-03-23T08:28:23.724779
ART40-2025-031,2025-03-23T08:29:17.537607
ART40-2025-030,2025-03-23T08:30:14.566216
ART40-2025-025,2025-03-23T08:31:33.558477
ART40-2025-035,2025-03-23T08:32:20.032423
ART40-2025-034,2025-03-23T08:34:01.120613
ART40-2025-056,2025-03-23T08:34:59.677391
ART40-2025-052,2025-03-23T08:35:58.676829
ART40-2025-041,2025-03-23T08:36:57.418726
ART40-2025-046,2025-03-23T08:37:48.522847
ART40-2025-044,2025-03-23T08:38:56.638006
ART40-2025-043,2025-03-23T08:40:57.321778
ART40-2025-047,2025-03-23T08:41:57.523567
ART40-2025-079,2025-03-23T08:42:57.923121
ART40-2025-023,2025-03-23T08:43:44.137220
ART40-2025-040,2025-03-23T08:44:52.541983
ART40-2025-054,2025-03-23T08:45:59.447287
ART40-2025-038,2025-03-23T08:46:58.242341
ART40-2025-013,2025-03-23T08:47:58.220918
ART40-2025-082,2025-03-23T08:48:57.000279
ART40-2025-061,2025-03-23T08:49:58.836673
ART40-2025-049,2025-03-23T08:50:57.806199
ART40-2025-086,2025-03-23T08:52:11.558909
ART40-2025-037,2025-03-23T08:53:03.758567
ART40-2025-083,2025-03-23T08:53:54.776752
ART40-2025-055,2025-03-23T08:55:05.725944
ART40-2025-045,2025-03-23T08:55:56.837511
ART40-2025-036,2025-03-23T08:56:57.179502
ART40-2025-062,2025-03-23T08:57:57.310866
ART40-2025-075,2025-03-23T08:58:56.952051
ART40-2025-087,2025-03-23T08:59:58.849001
ART40-2025-051,2025-03-23T09:00:56.677681
ART40-2025-064,2025-03-23T09:01:57.505404
ART40-2025-060,2025-03-23T09:02:57.965691
ART40-2025-094,2025-03-23T09:04:15.479083
ART40-2025-048,2025-03-23T09:04:57.424228
ART40-2025-072,2025-03-23T09:05:59.860365
ART40-2025-081,2025-03-23T09:06:56.941058
ART40-2025-067,2025-03-23T09:07:32.920510
ART40-2025-068,2025-03-23T09:07:59.135209
ART40-2025-069,2025-03-23T09:08:51.471751
ART40-2025-065,2025-03-23T09:09:56.666993
ART40-2025-080,2025-03-23T09:10:57.034680
ART40-2025-066,2025-03-23T09:11:57.848030
ART40-2025-073,2025-03-23T09:12:57.701393
ART40-2025-088,2025-03-23T09:14:03.145548
ART40-2025-078,2025-03-23T09:14:57.495817
ART40-2025-076,2025-03-23T09:15:56.969529
ART40-2025-085,2025-03-23T09:16:56.688047
ART40-2025-084,2025-03-23T09:17:56.457999
ART40-2025-071,2025-03-23T09:18:55.750066
ART40-2025-077,2025-03-23T09:19:56.598404
ART40-2025-053,2025-03-23T09:21:00.769658
ART40-2025-070,2025-03-23T09:21:58.681709
ART40-2025-091,2025-03-23T09:23:12.337046
ART40-2025-092,2025-03-23T09:44:57.275838
ART40-2025-050,2025-03-23T09:46:56.585547
ART40-2025-090,2025-03-23T09:47:53.156095
ART40-2025-089,2025-03-23T09:48:57.053177
ART40-2025-005,2025-03-23T09:49:57.335091
ART40-2025-039,2025-03-23T09:50:59.847381
